Date,new_cases,new_death_cases
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,1.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,1.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,5.0,0.0
2020-03-10,1.0,0.0
2020-03-11,8.0,0.0
2020-03-12,0.0,0.0
2020-03-13,1.0,0.0
2020-03-14,15.0,0.0
2020-03-15,1.0,0.0
2020-03-16,7.0,0.0
2020-03-17,0.0,0.0
2020-03-18,22.0,0.0
2020-03-19,74.0,0.0
2020-03-20,0.0,0.0
2020-03-21,46.0,0.0
2020-03-22,68.0,0.0
2020-03-23,36.0,0.0
2020-03-24,102.0,0.0
2020-03-25,103.0,1.0
2020-03-26,131.0,0.0
2020-03-27,141.0,2.0
2020-03-28,166.0,1.0
2020-03-29,234.0,0.0
2020-03-30,139.0,2.0
2020-03-31,189.0,2.0
2020-04-01,89.0,2.0
2020-04-02,275.0,6.0
2020-04-03,238.0,3.0
2020-04-04,309.0,5.0
2020-04-05,183.0,7.0
2020-04-06,285.0,2.0
2020-04-07,349.0,12.0
2020-04-08,205.0,7.0
2020-04-09,226.0,11.0
2020-04-10,256.0,10.0
2020-04-11,394.0,6.0
2020-04-12,214.0,1.0
2020-04-13,261.0,0.0
2020-04-14,210.0,27.0
2020-04-15,111.0,8.0
2020-04-16,275.0,15.0
2020-04-17,479.0,21.0
2020-04-18,266.0,12.0
2020-04-19,324.0,7.0
2020-04-20,237.0,8.0
2020-04-21,163.0,33.0
2020-04-22,231.0,29.0
2020-04-23,306.0,12.0
2020-04-24,402.0,16.0
2020-04-25,450.0,20.0
2020-04-26,248.0,10.0
2020-04-27,198.0,7.0
2020-04-28,499.0,35.0
2020-04-29,338.0,13.0
2020-04-30,500.0,24.0
2020-05-01,905.0,21.0
2020-05-02,584.0,21.0
2020-05-03,160.0,2.0
2020-05-04,179.0,7.0
2020-05-05,410.0,22.0
2020-05-06,503.0,25.0
2020-05-07,634.0,30.0
2020-05-08,476.0,20.0
2020-05-09,492.0,17.0
2020-05-10,399.0,3.0
2020-05-11,279.0,3.0
2020-05-12,308.0,26.0
2020-05-13,472.0,20.0
2020-05-14,689.0,16.0
2020-05-15,625.0,26.0
2020-05-16,847.0,11.0
2020-05-17,535.0,7.0
2020-05-18,507.0,2.0
2020-05-19,680.0,30.0
2020-05-20,425.0,11.0
2020-05-21,733.0,14.0
2020-05-22,758.0,11.0
2020-05-23,1102.0,9.0
2020-05-24,495.0,7.0
2020-05-25,721.0,10.0
2020-05-26,182.0,12.0
2020-05-27,511.0,29.0
2020-05-28,785.0,0.0
2020-05-29,1078.0,65.0
2020-05-30,1182.0,21.0
2020-05-31,0.0,0.0
2020-06-01,1582.0,21.0
2020-06-02,623.0,23.0
2020-06-03,894.0,18.0
2020-06-04,1082.0,19.0
2020-06-05,1189.0,7.0
2020-06-06,1573.0,27.0
2020-06-07,917.0,4.0
2020-06-08,827.0,11.0
2020-06-09,733.0,24.0
2020-06-10,877.0,17.0
2020-06-11,1305.0,17.0
2020-06-12,1823.0,28.0
2020-06-13,1570.0,13.0
2020-06-14,1445.0,5.0
2020-06-15,864.0,9.0
2020-06-16,782.0,35.0
2020-06-17,944.0,14.0
2020-06-18,1357.0,8.0
2020-06-19,1621.0,22.0
2020-06-20,1712.0,15.0
2020-06-21,1403.0,8.0
2020-06-22,802.0,3.0
2020-06-23,849.0,28.0
2020-06-24,1469.0,20.0
2020-06-25,1215.0,19.0
2020-06-26,1686.0,2.0
2020-06-27,1706.0,26.0
2020-06-28,1623.0,4.0
2020-06-29,1343.0,3.0
2020-06-30,1183.0,18.0
2020-07-01,1828.0,28.0
2020-07-02,1641.0,18.0
2020-07-03,2105.0,13.0
2020-07-04,1413.0,-7.0
2020-07-05,1329.0,1.0
